# ID1,ID2,cost
1,2,0.10000000000000002
2,3,0.10000000000000003
3,4,0.10000000000000003
3,45,0.1
4,5,0.1
4,51,0.09999999999999998
4,55,0.1
5,6,0.09999999999999998
5,30,0.09999999999999999
5,39,0.1
6,7,0.1
7,8,0.10000000000000002
7,56,0.1
8,9,0.1
8,13,0.1
8,18,0.10000000000000002
9,10,0.09999999999999999
10,11,0.10000000000000002
10,20,0.10000000000000003
11,12,0.1
11,17,0.10000000000000003
12,15,0.09999999999999999
12,21,0.10000000000000002
12,47,0.10000000000000003
13,14,0.1
13,22,0.1
14,16,0.10000000000000003
14,31,0.1
15,50,0.09999999999999999
15,63,0.09999999999999999
16,27,0.09999999999999998
16,37,0.1
16,48,0.1
17,19,0.09999999999999999
19,25,0.1
19,43,0.1
19,65,0.1
19,67,0.10000000000000003
19,91,0.10000000000000002
20,28,0.1
20,42,0.10000000000000005
20,52,0.09999999999999998
21,29,0.09999999999999999
21,95,0.09999999999999999
22,23,0.09999999999999999
22,34,0.1
23,24,0.09999999999999999
23,26,0.09999999999999998
23,38,0.1
23,46,0.09999999999999999
23,60,0.10000000000000005
23,68,0.09999999999999999
24,32,0.1
24,94,0.09999999999999998
25,36,0.09999999999999999
25,61,0.09999999999999998
25,62,0.10000000000000006
27,33,0.10000000000000003
27,72,0.1
28,53,0.10000000000000003
29,49,0.09999999999999998
29,90,0.10000000000000002
29,100,0.09999999999999999
32,44,0.10000000000000002
32,64,0.09999999999999999
32,71,0.09999999999999999
33,35,0.1
33,54,0.1
34,57,0.1
35,40,0.09999999999999998
35,99,0.10000000000000005
36,41,0.09999999999999998
37,83,0.1
38,87,0.1
42,75,0.1
45,58,0.09999999999999996
46,59,0.10000000000000003
50,69,0.1
52,93,0.1
53,92,0.10000000000000003
55,70,0.1
55,73,0.09999999999999999
55,77,0.10000000000000003
59,79,0.1
59,96,0.10000000000000003
60,78,0.09999999999999998
63,66,0.10000000000000002
64,74,0.09999999999999998
64,89,0.09999999999999999
66,76,0.1
66,84,0.10000000000000003
70,98,0.10000000000000003
71,81,0.10000000000000003
74,85,0.10000000000000003
76,80,0.09999999999999999
78,82,0.1
79,86,0.1
80,102,0.1
84,88,0.1
84,97,0.09999999999999998
84,101,0.09999999999999999
102,103,0.0023045425701324765
